TIME, U1, U2, U3, I1, I2, I3
7.3, 169.958, 391.964, 392.605, -0.17, 2.18, 0.4
7.32, -169.334, -392.682, -392.0, -1.61, 0.62, -1.24
7.34, 169.958, 391.964, 392.537, 0.05, 2.41, 0.51
7.36, -169.402, -392.818, -392.0, -1.72, 0.62, -1.13
7.38, 169.958, 392.1, 392.605, -0.17, 2.29, 0.4
7.4, -169.402, -392.818, -392.0, -1.61, 0.73, -1.24
7.42, 169.958, 392.168, 392.605, -0.17, 2.18, 0.4
7.44, -169.47, -393.022, -391.932, -1.5, 0.73, -1.35
7.46, 170.094, 392.1, 392.673, -0.17, 2.29, 0.51
7.48, -169.198, -392.886, -392.0, -1.5, 0.62, -1.02
7.5, 169.89, 392.1, 392.537, -0.17, 2.18, 0.4
7.52, -169.334, -392.75, -392.0, -1.39, 0.73, -1.13
7.54, 169.89, 392.168, 392.673, -0.06, 2.29, 0.4
7.56, -169.334, -392.818, -391.932, -1.5, 0.73, -1.02
7.58, 169.89, 392.032, 392.673, -0.06, 2.18, 0.4
7.6, -169.334, -392.818, -392.0, -1.5, 0.73, -1.13
7.62, 169.822, 392.1, 392.605, -0.06, 2.29, 0.4
7.64, -169.334, -392.818, -391.932, -1.5, 0.73, -1.24
7.66, 169.89, 392.1, 392.809, -0.28, 2.18, 0.4
7.68, -169.334, -392.75, -392.0, -1.61, 0.73, -1.24
7.7, 169.958, 392.032, 392.673, -0.17, 2.29, 0.4
7.72, -169.334, -392.75, -392.0, -1.61, 0.73, -1.02
7.74, 169.958, 392.032, 392.605, -0.06, 2.29, 0.4
7.76, -169.266, -392.818, -392.0, -1.5, 0.73, -1.24
7.78, 169.958, 392.1, 392.605, -0.06, 2.29, 0.51
7.8, -169.402, -392.682, -391.932, -1.72, 0.62, -1.13
7.82, 170.026, 392.032, 392.673, -0.17, 2.18, 0.4
7.84, -169.334, -392.682, -392.0, -1.61, 0.73, -1.13
7.86, 169.89, 392.236, 392.605, -0.17, 2.18, 0.4
7.88, -169.266, -392.614, -391.932, -1.5, 0.73, -1.13
7.9, 169.958, 392.032, 392.605, -0.06, 2.18, 0.4
7.92, -169.266, -392.75, -391.932, -1.5, 0.73, -1.13
7.94, 170.094, 392.032, 392.673, -0.17, 2.18, 0.4
7.96, -169.402, -392.75, -392.0, -1.5, 0.73, -1.13
7.98, 169.958, 391.896, 392.605, -0.17, 2.29, 0.4
8.0, -169.402, -392.614, -392.0, -1.61, 0.73, -1.13
8.02, 169.822, 391.964, 392.605, -0.17, 2.41, 0.4
8.04, -169.402, -392.682, -391.932, -1.61, 0.62, -1.24
8.06, 170.026, 392.1, 392.673, -0.17, 2.29, 0.4
8.08, -169.47, -392.682, -392.0, -1.61, 0.62, -1.13
8.1, 170.094, 392.1, 392.605, -0.17, 2.18, 0.4
8.12, -169.538, -392.818, -392.0, -1.61, 0.73, -1.13
8.14, 170.026, 392.168, 392.741, -0.17, 2.29, 0.51
8.16, -169.47, -392.818, -391.932, -1.61, 0.73, -1.24
