TIME, U1, U2, U3, I1, I2, I3
6.16, -229.521, -230.109, -229.17, -15.32, -13.13, -14.76
6.18, 229.941, 229.119, 229.775, 13.98, 15.93, 14.14
6.2, -229.521, -229.974, -229.17, -15.43, -13.13, -14.55
6.22, 230.009, 229.051, 229.775, 13.87, 15.82, 14.25
6.24, -229.453, -229.906, -229.238, -15.43, -13.02, -14.65
6.26, 230.077, 229.119, 229.775, 13.76, 15.93, 14.14
6.28, -229.589, -229.974, -229.17, -15.43, -13.36, -14.76
6.3, 229.873, 229.187, 229.775, 13.65, 15.93, 14.25
6.32, -229.453, -229.838, -229.17, -15.43, -13.24, -14.87
6.34, 229.941, 229.323, 229.775, 13.87, 15.93, 14.36
6.36, -229.453, -230.177, -229.102, -15.54, -13.36, -14.76
6.38, 229.873, 229.459, 229.911, 13.65, 15.93, 14.25
6.4, -229.521, -230.109, -229.102, -15.32, -13.36, -14.65
6.42, 229.941, 229.323, 229.843, 13.98, 15.93, 14.03
6.44, -229.453, -230.042, -229.238, -15.54, -13.02, -14.65
6.46, 230.009, 229.323, 229.707, 13.87, 15.93, 14.36
6.48, -229.657, -230.109, -229.17, -15.43, -13.24, -14.65
6.5, 230.009, 229.323, 229.843, 13.65, 15.93, 14.03
6.52, -229.589, -230.109, -229.374, -15.43, -13.02, -14.87
6.54, 229.873, 229.323, 229.775, 13.87, 15.93, 14.14
6.56, -229.521, -230.109, -229.306, -15.43, -13.24, -14.87
6.58, 229.941, 229.391, 229.843, 13.76, 15.82, 14.36
6.6, -229.589, -230.177, -229.238, -15.43, -13.24, -14.65
6.62, 229.873, 229.391, 229.843, 13.76, 16.05, 13.92
6.64, -229.521, -230.109, -229.374, -15.65, -13.02, -14.65
6.66, 229.805, 229.459, 229.775, 13.76, 16.05, 14.14
6.68, -229.657, -230.109, -229.306, -15.43, -13.36, -14.65
6.7, 229.941, 229.459, 229.911, 13.87, 16.05, 14.14
6.72, -229.589, -229.906, -229.374, -15.65, -13.02, -14.76
6.74, 229.873, 229.255, 229.979, 13.76, 15.82, 14.25
6.76, -229.385, -229.906, -229.238, -15.32, -13.02, -14.76
6.78, 229.941, 229.323, 229.911, 13.76, 15.93, 14.36
6.8, -229.317, -230.109, -229.238, -15.32, -13.02, -14.55
6.82, 229.873, 229.391, 230.116, 13.76, 15.93, 14.14
6.84, -229.249, -230.042, -229.442, -15.32, -13.13, -14.76
6.86, 229.873, 229.323, 229.911, 13.87, 16.05, 14.25
6.88, -229.385, -229.974, -229.238, -15.54, -13.13, -14.65
6.9, 229.941, 229.323, 229.911, 13.54, 15.93, 14.14
6.92, -229.385, -230.042, -229.238, -15.43, -13.13, -14.87
6.94, 229.941, 229.187, 229.979, 13.87, 15.93, 14.14
6.96, -229.385, -229.906, -229.238, -15.43, -13.02, -14.65
6.98, 229.873, 229.323, 229.843, 13.76, 16.16, 14.03
7.0, -229.317, -230.042, -229.17, -15.32, -13.13, -14.65
7.02, 229.873, 229.255, 230.116, 13.76, 15.93, 14.03
7.04, -229.385, -229.906, -229.238, -15.54, -13.02, -14.98
7.06, 230.009, 229.323, 229.979, 14.09, 15.93, 14.25
7.08, -229.317, -230.109, -229.306, -15.43, -13.02, -14.87
7.1, 229.941, 229.255, 229.911, 13.76, 16.05, 14.14
7.12, -229.317, -230.109, -229.238, -15.43, -13.13, -14.55
7.14, 229.941, 229.595, 229.843, 13.87, 16.05, 14.03
7.16, -229.385, -230.313, -229.238, -15.32, -13.13, -14.76
7.18, 230.009, 229.595, 229.911, 13.76, 15.93, 14.03
7.2, -229.317, -230.177, -229.306, -15.54, -13.02, -14.55
7.22, 230.077, 229.731, 229.979, 13.76, 16.05, 14.14
7.24, -229.249, -230.109, -229.306, -15.65, -13.24, -14.65
7.26, 229.873, 229.595, 229.911, 13.87, 16.16, 13.92
7.28, -229.317, -230.109, -229.306, -15.43, -13.13, -14.76
7.3, 230.009, 229.731, 229.911, 14.09, 16.05, 14.36
7.32, -229.317, -230.177, -229.306, -15.32, -13.13, -14.55
7.34, 229.873, 229.527, 229.979, 13.98, 15.82, 14.25
7.36, -229.453, -230.109, -229.306, -15.32, -13.13, -14.76
7.38, 230.009, 229.731, 230.048, 13.76, 15.71, 14.25
7.4, -229.521, -230.177, -229.374, -15.43, -13.24, -14.87
7.42, 230.009, 229.391, 229.911, 13.65, 16.05, 14.25
7.44, -229.317, -230.042, -229.238, -15.43, -13.13, -14.76
7.46, 230.009, 229.459, 229.911, 13.76, 15.82, 14.14
7.48, -229.385, -230.109, -229.238, -15.54, -13.02, -14.76
7.5, 229.873, 229.595, 229.843, 13.76, 15.93, 14.03
7.52, -229.385, -230.042, -229.238, -15.43, -13.13, -14.76
7.54, 229.941, 229.527, 229.911, 13.87, 15.93, 14.14
7.56, -229.453, -229.974, -229.238, -15.43, -13.13, -14.87
7.58, 230.077, 229.459, 229.911, 13.76, 15.82, 14.14
7.6, -229.521, -229.974, -229.238, -15.43, -13.24, -14.76
7.62, 230.009, 229.323, 229.911, 13.76, 15.93, 14.25
7.64, -229.385, -230.042, -229.238, -15.43, -13.24, -14.98
7.66, 230.145, 229.459, 229.979, 13.87, 15.82, 14.03
7.68, -229.385, -230.042, -229.17, -15.54, -13.24, -14.87
7.7, 229.941, 229.459, 230.048, 13.65, 16.16, 14.14
7.72, -229.385, -230.042, -229.238, -15.54, -13.47, -14.87
7.74, 229.873, 229.391, 229.911, 13.76, 15.93, 14.36
7.76, -229.385, -229.906, -229.17, -15.65, -13.24, -14.87
7.78, 229.941, 229.391, 229.911, 13.87, 16.05, 14.14
7.8, -229.385, -229.974, -229.17, -15.32, -13.13, -14.76
7.82, 230.009, 229.255, 229.979, 13.87, 15.82, 14.14
7.84, -229.317, -230.177, -229.17, -15.32, -13.36, -14.76
7.86, 230.145, 229.119, 229.979, 13.76, 15.71, 14.25
7.88, -229.249, -230.245, -229.238, -15.54, -13.13, -14.98
7.9, 230.009, 229.663, 229.843, 13.76, 15.93, 14.25
7.92, -229.453, -230.313, -229.17, -15.54, -13.47, -14.87
7.94, 229.941, 229.663, 229.979, 13.87, 16.05, 14.25
7.96, -229.453, -230.109, -229.102, -15.54, -13.13, -14.76
7.98, 229.873, 229.663, 229.911, 13.76, 15.93, 14.25
8.0, -229.453, -230.042, -229.238, -15.43, -13.02, -14.87
8.02, 229.941, 229.595, 229.979, 13.87, 16.16, 14.36
8.04, -229.385, -230.109, -229.102, -15.32, -13.24, -14.76
8.06, 230.077, 229.595, 229.979, 13.87, 15.71, 14.25
8.08, -229.249, -230.313, -229.238, -15.65, -13.13, -14.76
8.1, 229.873, 229.527, 229.979, 13.65, 15.82, 14.03
8.12, -229.453, -230.177, -229.238, -15.54, -13.13, -14.76
8.14, 230.009, 229.595, 229.979, 13.87, 15.82, 14.14
8.16, -229.385, -230.245, -229.306, -15.54, -13.13, -14.76
